"","s-2","s-Wetteren","s-Wichelen","s-2a","s-3","s-Dendermonde","s-4b","s-4c","s-6","s-8","s-9","s-12","s-STD3","s-7","s-5","ak-41","s-Vlassenbroek","s-4a","s-9a","s-8a","s-11","s-4","s-10a","ak-45","ws-53A","ws-53","ws-42A","ws-18","ws-25B","ws-16","ws-14","ws-12A","ws-6","ws-4","ws-PVTSS","ws-DL9","ws-DL7","ws-55","ws-2C","ws-TRAWL","ws-F42","ws-HW6","ws-11","s-1","ws-OGDL","ws-OG10","ws-SP3","ws-25A","ws-25","ws-23","ws-A5","ws-PPC","ws-A3","ws-A1","ws-15A","ws-15","ws-W6","ak-47","ws-WN2","bpns-WENDUINEBANKW","bpns-Whitley","me-7-2","M-6","ws-13","ws-W7","bpns-W1","bpns-Trapegeer","du-Hamveer","bpns-WK12","ws-FZ2","bpns-S4","bpns-A1BIS","bpns-S7","bpns-O6","M-4","M-4A","M-3","M-2","M-1","M-5","s-Dendermonde2","bpns-KB2","bpns-middelkerkebank","bpns-nieuwpoortbank","ws-borssele","PC4C-C05-2","PC4C-C05-9","ws-GVWSP","bpns-Cpowerreefballs-CPOD","bpns-zbe1","bpns-ZA2","ws-F53","bpns-WK14","rel_schelde1","rel_dijle","rel_schelde2","rel_schelde3","rel_schelde4","rel_schelde5"
"M-1",85575.6490945559,78940.9858320429,73496.0724977018,68661.4609457925,58772.178272933,53261.7749288144,40751.7263176504,38262.3553250024,30238.4923354345,25948.7523357511,31395.6935503495,53878.3156966829,57791.5118247353,28248.7953589615,35448.7690919322,39643.778399301,45437.7766642337,44089.4413309628,31595.6314975893,25848.7833621313,53695.5196016926,54751.4317778453,39161.0509760339,50581.9044106743,78843.7037389617,79192.105261856,79040.539879561,96209.6082650576,97292.3447893868,97319.7061007531,98171.2251503121,98964.1521758094,101577.301348547,101925.70287144,102574.084537448,120871.160205577,122119.502157811,78329.6967881642,102677.947319814,120846.230735835,79388.9414024547,80120.1257824141,103229.486226259,86230.879931443,119088.470013984,119902.40829306,121739.869922222,98443.8439820582,98943.8108872468,99719.5472456584,100553.875628132,101402.244056214,101022.611820625,101532.749370095,101560.110681462,101970.254849893,121076.729430754,61229.3666635925,120932.184071263,166249.251467844,187799.843669994,15662.524723128,8438.21826317696,102922.486060341,120604.123836932,131848.65327146,194396.256197007,37862.7479121191,147079.596681741,79006.1585453895,149250.6521935,156754.743952509,140575.438733109,165578.09667165,2579.4622110009,2579.4622110009,2296.69714239069,2055.30902333926,0,4776.16597235393,53261.7749288143,175508.947609149,177103.259242651,191030.143796044,104416.012310701,177841.906923197,177924.709637149,121301.645662571,160385.460880494,140290.217415457,141186.934001067,79392.0920239316,135783.495245956,25334.9472632581,2579.4622110009,52296.2224526086,68620.0351813987,42182.7911426195,85575.6490945559
"M-5",80799.483122202,74164.8198596889,68719.9065253478,63885.2949734386,53996.0123005791,48485.6089564605,35975.5603452965,33486.1893526485,25462.3263630806,21172.5863633972,26619.5275779956,49102.149724329,53015.3458523814,23472.6293866076,30672.6031195784,34867.6124269471,40661.6106918798,39313.2753586089,26819.4655252353,21072.6173897773,48919.3536293387,49975.2658054914,34384.88500368,45805.7384383204,74067.5377666078,74415.9392895021,74264.3739072071,91433.4422927037,92516.1788170328,92543.5401283992,93395.0591779581,94187.9862034555,96801.1353761929,97149.5368990865,97797.9185650938,116094.994233223,117343.336185457,73553.5308158102,97901.78134746,116070.064763481,74612.7754301007,75343.9598100602,98453.3202539051,81454.713959089,114312.30404163,115126.242320706,116963.703949868,93667.6780097043,94167.6449148929,94943.3812733045,95777.7096557777,96626.0780838598,96246.4458482715,96756.5833977407,96783.9447091078,97194.0888775393,116300.5634584,56453.2006912386,116156.01809891,161473.08549549,183023.67769764,10886.358750774,3662.05229082303,98146.3200879875,115827.957864578,127072.487299107,189620.090224653,33086.5819397652,142303.430709387,74229.9925730356,144474.486221146,151978.577980155,135799.272760755,160801.930699296,2196.70376135303,2196.70376135303,2538.03644660712,2720.85694901467,4776.16597235393,0,48485.6089564604,170732.781636795,172327.093270297,186253.97782369,99639.8463383469,173065.740950843,173148.543664795,116525.479690217,155609.29490814,135514.051443103,136410.768028713,74615.9260515776,131007.329273602,20558.7812909041,2196.70376135303,47520.0564802547,63843.8692090448,37406.6251702656,80799.483122202
"s-Dendermonde2",32313.8741657415,25679.2109032285,20234.2975688874,15399.6860169783,5510.4033441187,0,12510.0486111641,14999.4196038121,23023.28259338,32705.9734074622,38152.9146220606,60635.5367683939,64548.7328964463,25012.9795698531,17813.0058368823,46400.999471012,7823.99826458081,9172.33359785169,38352.8525693003,32606.0044338423,60452.7406734036,1489.65684903091,45918.2720477449,57339.1254823853,85600.924810673,85949.3263335673,85797.7609512723,102966.829336769,104049.565861098,104076.927172464,104928.446222023,105721.373247521,108334.522420258,108682.923943152,109331.305609159,127628.381277288,128876.723229522,85086.9178598754,109435.168391525,127603.451807547,86146.1624741659,86877.3468541253,109986.70729797,32969.1050026285,125845.691085695,126659.629364771,128497.090993933,105201.065053769,105701.031958958,106476.76831737,107311.096699843,108159.465127925,107779.832892337,108289.970441806,108317.331753173,108727.475921604,127833.950502465,67986.5877353035,127689.405142975,173006.472539555,194557.064741705,37599.2502056865,44823.5566656377,109679.707132053,127361.344908643,138605.874343172,201153.477268718,22450.5859888499,153836.817753452,85763.3796171007,156007.873265211,163511.96502422,147332.65980482,172335.317743361,50682.3127178135,50682.3127178135,51023.6454030675,51206.4659054751,53261.7749288143,48485.6089564604,0,182266.16868086,183860.480314362,197787.364867755,111173.233382412,184599.127994908,184681.93070886,128058.866734282,167142.681952205,147047.438487169,147944.155072778,86149.3130956427,142540.716317667,27926.8276655565,50682.3127178135,965.552476205732,15358.2602525844,11078.983786195,32313.8741657415
"bpns-KB2",214580.042846602,207945.379584088,202500.466249747,197665.854697838,187776.572024978,182266.16868086,169756.120069695,167266.749077047,159242.886087479,149560.195273397,144113.254058799,121630.631912465,117717.435784413,157253.189111006,164453.162843977,136323.661535806,174442.170416279,173093.835083008,143913.316111559,149660.164247017,122013.365954695,183755.825529891,136406.464249758,125716.990454419,97079.2574399457,97227.6722007646,97876.0538667714,82777.0533300766,81859.9222336514,81087.336496716,79739.0011634453,78532.0605681881,73931.6462606009,73583.2447377073,72934.8630717,59937.1610965,59185.6354279794,97179.2508209835,73741.8301428068,57312.4037197778,98024.4686275896,97955.7059592472,72693.4749526485,215235.273683489,61554.2458601893,61851.0753818262,58406.0296682396,80211.6067572668,79711.6398520782,78687.4953518107,77521.9561135296,77170.4039691593,76390.7982094201,75301.0416622858,74528.455925351,73538.6927592545,55343.0480318667,117103.581897084,56398.4232448287,15138.6888318989,23477.3108398266,159846.422886021,167070.729345972,72586.4615488065,55070.42920012,43660.2943376874,27203.9101512897,166867.141664164,33149.1056226733,98241.6460567508,26920.717127264,18754.203656639,34933.5088760389,19867.1766117417,172929.485398148,172929.485398148,173270.818083402,173453.638585809,175508.947609149,170732.781636795,182266.16868086,0,5546.91018821776,23076.4187339561,73504.311425083,38147.4254309997,38347.3633782394,57767.8186465136,33901.5184450242,35218.730193691,35160.13816963,97027.685438689,39725.4523631928,154339.341015303,172929.485398147,181300.616204654,197624.428933444,171187.184894664,214580.042846601
"bpns-middelkerkebank",216174.354480104,209539.691217591,204094.77788325,199260.166331341,189370.883658481,183860.480314362,171350.431703198,168861.06071055,160837.197720982,151154.5069069,145707.565692301,123224.943545968,119311.747417915,158847.500744509,166047.47447748,137917.973169309,176036.482049781,174688.146716511,145507.627745062,151254.47588052,123607.677588198,185350.137163393,138000.775883261,127311.302087922,98673.5690734483,98821.9838342672,99470.365500274,84371.3649635792,83454.233867154,82681.6481302186,81333.3127969479,80126.3722016907,75525.9578941035,75177.5563712099,74529.1747052025,61531.4727300026,60779.947061482,98773.5624544861,75336.1417763093,58906.7153532804,99618.7802610922,99550.0175927498,74287.7865861511,216829.585316991,63148.5574936919,63445.3870153288,60000.3413017422,81805.9183907695,81305.9514855809,80281.8069853134,79116.2677470323,78764.7156026619,77985.1098429228,76895.3532957884,76122.7675588536,75133.0043927571,56937.3596653693,118697.893530586,57992.7348783313,12344.4566259437,18427.5098243349,161440.734519523,168665.040979475,74180.7731823091,56664.7408336226,45254.60597119,22154.109135798,168461.453297667,34743.4172561759,99835.9576902534,28515.0287607667,20348.5152901416,36527.8205095416,17072.9444057865,174523.79703165,174523.79703165,174865.129716904,175047.950219312,177103.259242651,172327.093270297,183860.480314362,5546.91018821776,0,18026.6177184644,75098.6230585855,43197.2264464913,43397.1643937311,59362.130280016,38951.3194605158,36813.0418271937,36092.0280915156,98621.9970721918,41319.7639966953,155933.652648805,174523.79703165,182894.927838156,199218.740566947,172781.496528167,216174.354480104
"bpns-nieuwpoortbank",230101.239033497,223466.575770983,218021.662436642,213187.050884733,203297.768211873,197787.364867755,185277.31625659,182787.945263942,174764.082274374,165081.391460292,159634.450245694,137151.82809936,133238.631971307,172774.385297901,179974.359030872,151844.857722701,189963.366603174,188615.031269903,159434.512298454,165181.360433912,137534.56214159,199277.021716786,151927.660436653,141238.186641314,112600.453626841,112748.868387659,113397.250053666,98298.2495169715,97381.1184205464,96608.5326836109,95260.1973503402,94053.256755083,89452.8424474958,89104.4409246021,88456.0592585948,75458.3572833949,74706.8316148743,112700.447007878,89263.0263297015,72833.5999066726,113545.664814484,113476.902146142,88214.6711395433,230756.469870384,77075.4420470841,77372.2715687211,73927.2258551345,95732.8029441618,95232.8360389732,94208.6915387057,93043.1523004246,92691.6001560543,91911.9943963151,90822.2378491807,90049.652112246,89059.8889461494,70864.2442187616,132624.778083979,71919.6194317236,24780.8923281995,4969.15711904268,175367.619072915,182591.925532867,88107.6577357014,70591.6253870148,59181.4905245822,4127.4914173336,182388.337851059,48670.3018095683,113762.842243646,42441.913314159,34275.3998435341,50454.7050629337,25452.0471243936,188450.681585043,188450.681585043,188792.014270297,188974.834772704,191030.143796044,186253.97782369,197787.364867755,23076.4187339561,18026.6177184644,0,89025.5076119779,61223.8441649555,61423.7821121952,73289.0148334083,56977.9371789798,50739.9263805858,50018.9126449078,112548.881625585,55246.6485500875,169860.537202198,188450.681585043,196821.812391549,213145.62512034,186708.38108156,230101.239033497
"ws-borssele",143487.107548154,136852.444285641,131407.5309513,126572.91939939,116683.636726531,111173.233382412,98663.1847712477,96173.8137785997,88149.9507890317,78467.2599749495,73020.3187603511,50537.6966140176,46624.5004859652,86160.2538125587,93360.2275455295,65230.7262373585,103349.235117831,102000.89978456,72820.3808131114,78567.2289485694,50920.4306562477,112662.890231443,65313.5289513105,54624.0551559714,25986.3221414987,26134.7369023175,26783.1185683243,12386.9294313563,12172.6097346576,11107.1859145028,10051.6886644515,9137.58615241371,4830.00992804584,4188.77032193281,3423.25342263768,16630.850744808,17879.1926970417,26086.3155225364,1972.33545746232,16605.9212750663,26931.5333291424,26862.7706608,2240.7431840315,144142.338385041,14848.1605532148,15662.0988322905,17499.5604614527,10992.8351914241,10785.7063694549,10112.9675690507,9298.83403063286,9650.09328598907,8167.67612652329,7136.48719603284,6071.0633758787,5081.30020978217,18161.2633932163,46010.6465986364,17105.8881802543,64244.6152837784,85795.2074859278,88753.4875875727,95977.7940475241,2782.01381652466,18433.882224963,29844.0170873957,92391.6200129411,95774.2063657164,42839.2872209714,27148.7107583036,46583.5942978192,54750.107768444,38570.8025490442,63573.4604875842,101836.5500997,101836.5500997,102177.882784954,102360.703287362,104416.012310701,99639.8463383469,111173.233382412,73504.311425083,75098.6230585855,89025.5076119779,0,73601.5974624274,73684.4001763793,17061.3362018021,56145.151419724,38285.5812313921,39182.2978170019,25934.750140242,33778.8590618904,83246.4057168553,101836.5500997,110207.680906206,126531.493634997,100094.249596217,143487.107548154
"PC4C-C05-2",216913.00216065,210278.338898137,204833.425563796,199998.814011887,190109.531339027,184599.127994908,172089.079383744,169599.708391096,161575.845401528,151893.154587446,146446.213372847,123963.591226514,120050.395098461,159586.148425055,166786.122158026,138656.620849855,176775.129730327,175426.794397057,146246.275425608,151993.123561066,124346.325268744,186088.784843939,138739.423563807,128049.949768468,99412.2167539944,99560.6315148132,100209.01318082,85110.0126441253,84192.8815477001,83420.2958107647,82071.9604774939,80865.0198822367,76264.6055746495,75916.2040517559,75267.8223857485,56970.7467176195,55722.4047653859,99512.2101350321,75163.9596033824,56995.6761873612,100357.427941638,100288.665273296,74612.4206969373,217568.232997537,58753.4369092126,58056.6338634248,56102.0370009748,82544.5660713155,82044.5991661269,81020.4546658594,79854.9154275783,79503.363283208,78723.7575234688,77634.0009763344,76861.4152393997,75871.6520733032,56765.1774924426,119436.541211132,56909.7228519331,44582.4103277112,61624.7362708261,162179.382200069,169403.688660021,74919.4208628549,57237.7830862648,47649.3079307769,65351.335582289,169200.100978213,31875.0949576908,100574.605370799,35033.6925605248,38911.9261189032,40578.5703259605,50599.3856737194,175262.444712196,175262.444712196,175603.77739745,175786.597899858,177841.906923197,173065.740950843,184599.127994908,38147.4254309997,43197.2264464913,61223.8441649555,73601.5974624274,0,199.937947239727,56540.2612606255,17456.4460427037,45264.4498206193,46722.5586605241,99360.6447527379,46545.912821455,156672.300329352,175262.444712197,183633.575518703,199957.388247494,173520.144208714,216913.002160651
"PC4C-C05-9",216995.804874602,210361.141612089,204916.228277748,200081.616725839,190192.334052979,184681.93070886,172171.882097696,169682.511105048,161658.64811548,151975.957301398,146529.016086799,124046.393940466,120133.197812413,159668.951139007,166868.924871978,138739.423563807,176857.932444279,175509.597111009,146329.07813956,152075.926275018,124429.127982696,186171.587557891,138822.226277759,128132.75248242,99495.0194679463,99643.4342287652,100291.815894772,85192.8153580772,84275.684261652,83503.0985247166,82154.7631914459,80947.8225961887,76347.4082886015,75999.0067657078,75350.6250997005,57053.5494315714,55805.2074793378,99595.0128489841,75246.7623173344,57078.4789013132,100440.23065559,100371.467987248,74695.2234108892,217651.035711489,58836.2396231646,58139.4365773767,56184.8397149267,82627.3687852675,82127.4018800788,81103.2573798114,79937.7181415303,79586.1659971599,78806.5602374208,77716.8036902864,76944.2179533516,75954.4547872551,56847.9802063946,119519.343925084,56992.525565885,44782.3482749509,61824.6742180658,162262.184914021,169486.491373973,75002.2235768069,57320.5858002168,47732.1106447288,65551.2735295288,169282.903692165,32075.0329049305,100657.408084751,35233.6305077645,39111.864066143,40778.5082732002,50799.3236209591,175345.247426148,175345.247426148,175686.580111402,175869.40061381,177924.709637149,173148.543664795,184681.93070886,38347.3633782394,43397.1643937311,61423.7821121952,73684.4001763793,199.937947239727,0,56623.0639745774,17539.2487566557,45464.3877678591,46922.4966077638,99443.4474666898,46745.8507686948,156755.103043304,175345.247426149,183716.378232655,200040.190961446,173602.946922666,216995.804874603
"ws-GVWSP",160372.740900024,153738.077637511,148293.16430317,143458.552751261,133569.270078401,128058.866734282,115548.818123118,113059.44713047,105035.584140902,95352.8933268201,89905.9521122217,67423.329965888,63510.1338378355,103045.887164429,110245.8608974,82116.3595892291,120234.868469702,118886.533136431,89706.014164982,95452.86230044,67806.064008118,129548.523583313,82199.1623031811,71509.6885078419,42871.9554933689,43020.3702541877,43668.7519201945,28569.7513834998,27652.6202870747,26880.0345501393,25531.6992168686,24324.7586216114,19724.3443140242,19375.9427911306,18727.5611251233,2637.88338313767,2823.43958091916,42971.9488744067,18623.6983427572,1099.6587098185,43817.1666810126,43748.4040126702,18072.159436312,161027.971736911,3786.42721367581,4258.95958524454,1341.02242145273,26004.3048106901,25504.3379055015,24480.193405234,23314.6541669529,22963.1020225826,22183.4962628434,21093.7397157091,20321.1539787744,19331.3908126779,3654.69056416848,62896.2799505067,2306.47726798701,48508.1225052092,70058.7147073582,105639.120939443,112863.427399395,18379.1596022297,4512.98556235407,14107.5243088264,76655.1272343715,112659.839717587,25777.9510191694,44034.3441101739,30847.1015192499,39013.6149898748,22834.3097704749,47836.9677090152,118722.18345157,118722.18345157,119063.516136825,119246.336639232,121301.645662571,116525.479690217,128058.866734282,57767.8186465136,59362.130280016,73289.0148334083,17061.3362018021,56540.2612606255,56623.0639745774,0,39083.8152179221,22549.0884528228,23445.8050384326,42820.3834921122,18042.366283321,100132.039068726,118722.18345157,127093.314258077,143417.126986867,116979.882948087,160372.740900024
"bpns-Cpowerreefballs-CPOD",199456.556117947,192821.892855434,187376.979521092,182542.367969183,172653.085296324,167142.681952205,154632.633341041,152143.262348393,144119.399358825,134436.708544742,128989.767330144,106507.14518381,102593.949055758,142129.702382352,149329.676115322,121200.174807151,159318.683687624,157970.348354353,128789.829382904,134536.677518362,106889.87922604,168632.338801236,121282.977521103,110593.503725764,81955.7707112909,82104.1854721097,82752.5671381165,67653.5666014215,66736.4355049963,65963.8497680609,64615.5144347902,63408.5738395331,58808.159531946,58459.7580090524,57811.3763430451,39514.3006749162,38265.9587226825,82055.7640923286,57707.5135606791,39539.2301446579,82900.9818989347,82832.2192305923,57155.9746542339,200111.786954834,41296.9908665093,40600.1878207214,38645.5909582715,65088.1200286118,64588.1531234231,63564.0086231557,62398.4693848746,62046.9172405042,61267.3114807651,60177.5549336308,59404.9691966961,58415.2060305996,39308.7314497393,101980.095168429,39453.2768092297,35945.3723159888,57378.8292848503,144722.936157366,151947.242617317,57462.9748201515,39781.3370435615,30192.8618880738,61105.4285963134,151743.654935509,16527.0831141665,83118.1593280959,19685.6807170006,25220.9448511326,25230.5584824364,39725.3563847298,157805.998669493,157805.998669493,158147.331354747,158330.151857155,160385.460880494,155609.29490814,167142.681952205,33901.5184450242,38951.3194605158,56977.9371789798,56145.151419724,17456.4460427037,17539.2487566557,39083.8152179221,0,29916.4379770954,31374.5468170001,81904.198710034,31197.9009779311,139215.854286648,157805.998669493,166177.129475999,182500.94220479,156063.69816601,199456.556117947
"bpns-zbe1",179361.31265291,172726.649390397,167281.736056056,162447.124504147,152557.841831287,147047.438487169,134537.389876004,132048.018883356,124024.155893788,114341.465079706,108894.523865108,86411.9017187739,82498.7055907214,122034.458917315,129234.432650286,101104.931342115,139223.440222588,137875.104889317,108694.585917868,114441.434053326,86794.635761004,148537.095336199,101187.734056067,90498.2602607278,61860.5272462547,62008.9420070735,62657.3236730803,47558.3231363855,46641.1920399603,45868.6063030249,44520.2709697542,43313.3303744971,38712.91606691,38364.5145440164,37716.1328780091,24718.4309028094,23966.9052342888,61960.5206272925,38523.0999491159,22093.673526087,62805.7384338984,62736.975765556,37474.7447589577,180016.543489797,26335.5156664986,26632.3451881356,23187.299474549,44992.8765635757,44492.9096583871,43468.7651581196,42303.2259198386,41951.6737754682,41172.0680157291,40082.3114685948,39309.7257316601,38319.9625655636,20124.3178381759,81884.8517033926,21179.6930511379,25959.0340523867,47509.6262545357,124627.692692329,131851.999152281,37367.7313551157,19851.6990064291,8441.56414399644,54106.0387815489,131648.411470473,13389.3548629288,63022.9158630597,13100.5704756448,16464.5265370521,4685.87949465893,25287.8792561927,137710.755204456,137710.755204456,138052.087889711,138234.908392118,140290.217415457,135514.051443103,147047.438487169,35218.730193691,36813.0418271937,50739.9263805858,38285.5812313921,45264.4498206193,45464.3877678591,22549.0884528228,29916.4379770954,0,1540.96036869245,61808.955244998,4506.72216950178,119120.610821611,137710.755204456,146081.886010962,162405.698739753,135968.454700973,179361.31265291
"bpns-ZA2",180258.02923852,173623.365976007,168178.452641666,163343.841089757,153454.558416897,147944.155072778,135434.106461614,132944.735468966,124920.872479398,115238.181665316,109791.240450717,87308.6183043837,83395.4221763312,122931.175502925,130131.149235896,102001.647927725,140120.156808197,138771.821474927,109591.302503478,115338.150638936,87691.3523466138,149433.811921809,102084.450641677,91394.9768463376,62757.2438318645,62905.6585926833,63554.0402586901,48455.0397219953,47537.9086255701,46765.3228886347,45416.987555364,44210.0469601069,39609.6326525198,39261.2311296262,38612.8494636189,25615.1474884192,24863.6218198986,62857.2372129022,39419.8165347257,22990.3901116968,63702.4550195082,63633.6923511658,38371.4613445675,180913.260075407,27232.2322521084,27529.0617737454,24084.0160601587,45889.5931491855,45389.6262439969,44365.4817437294,43199.9425054484,42848.390361078,42068.7846013389,40979.0280542046,40206.4423172699,39216.6791511734,21021.0344237857,82781.5682890024,22076.4096367477,25238.0203167086,46788.6125188577,125524.409277939,132748.71573789,38264.4479407254,20748.4155920389,9338.28072960622,53385.0250458708,132545.128056083,14847.4637028336,63919.6324486694,13621.5974492474,16654.3426548469,6143.9883345637,24566.8655205146,138607.471790066,138607.471790066,138948.80447532,139131.624977728,141186.934001067,136410.768028713,147944.155072778,35160.13816963,36092.0280915156,50018.9126449078,39182.2978170019,46722.5586605241,46922.4966077638,23445.8050384326,31374.5468170001,1540.96036869245,0,62705.6718306078,5403.43875511156,120017.327407221,138607.471790066,146978.602596572,163302.415325363,136865.171286583,180258.02923852
"ws-F53",118463.187261385,111828.523998871,106383.61066453,101548.999112621,91659.7164397615,86149.3130956427,73639.2644844785,71149.8934918305,63126.0305022626,53443.3396881805,47996.3984735821,25513.7763272487,21600.5801991962,61136.3335257896,68336.3072587603,40206.8059505897,78325.3148310618,76976.9794977909,47796.4605263424,53543.3086618004,25896.5103694788,87638.9699446736,40289.6086645417,29600.1348692026,724.091134901369,199.986762075452,848.368428082242,17728.3460945989,18811.082618928,18838.4439302944,19689.9629798534,20482.8900053507,23096.0391780882,23444.4407009818,24092.8223669891,42389.8980351182,43638.2399873518,1765.20663549385,24196.6851493552,42364.9685653765,1406.75650540758,2040.80523679177,24748.2240558004,119118.418098272,40607.207843525,41421.1461226007,43258.6077517629,19962.5818115995,20462.5487167881,21238.2850751997,22072.6134576729,22920.981885755,22541.3496501667,23051.487199636,23078.8485110031,23488.9926794346,42595.4672602951,20986.7263118674,42450.9219008046,87767.9892973848,109318.581499535,63729.5673008036,70953.8737607549,24441.2238898827,42122.861666473,53367.3911010017,115914.994026548,70750.2860789471,68598.3345112816,1331.09585134938,70769.3900230409,78273.4817820501,62094.1765626503,87096.8345011909,76812.6298129307,76812.6298129307,77153.9624981848,77336.7830005923,79392.0920239316,74615.9260515776,86149.3130956427,97027.685438689,98621.9970721918,112548.881625585,25934.750140242,99360.6447527379,99443.4474666898,42820.3834921122,81904.198710034,61808.955244998,62705.6718306078,0,57302.2330754963,58222.485430086,76812.6298129306,85183.760619437,101507.573348227,75070.3293094476,118463.187261384
"bpns-WK14",174854.590483409,168219.927220895,162775.013886554,157940.402334645,148051.119661785,142540.716317667,130030.667706502,127541.296713854,119517.433724286,109834.742910204,104387.801695606,81905.1795492721,77991.9834212197,117527.736747813,124727.710480784,96598.2091726133,134716.718053086,133368.382719815,104187.863748366,109934.711883824,82287.9135915022,144030.373166698,96681.0118865653,85991.5380912261,57353.8050767529,57502.2198375717,58150.6015035785,43051.6009668837,42134.4698704585,41361.8841335232,40013.5488002525,38806.6082049953,34206.1938974082,33857.7923745146,33209.4107085073,20211.7087333076,19460.183064787,57453.7984577907,34016.3777796141,17586.9513565853,58299.0162643966,58230.2535960542,32968.0225894559,175509.821320296,21828.7934969969,22125.6230186338,18680.5773050472,40486.154394074,39986.1874888854,38962.0429886179,37796.5037503369,37444.9516059665,36665.3458462274,35575.5892990931,34803.0035621584,33813.2403960619,15617.5956686741,77378.1295338908,16672.9708816362,30465.7562218885,52016.3484240374,120120.970522827,127345.276982779,32861.0091856139,15344.9768369274,3934.84197449466,58612.7609510505,127141.689300971,15022.2235636277,58516.1936935579,17193.2790753868,20971.2487065539,7607.23576152322,29794.6014256944,133204.033034955,133204.033034955,133545.365720209,133728.186222616,135783.495245956,131007.329273602,142540.716317667,39725.4523631928,41319.7639966953,55246.6485500875,33778.8590618904,46545.912821455,46745.8507686948,18042.366283321,31197.9009779311,4506.72216950178,5403.43875511156,57302.2330754963,0,114613.88865211,133204.033034954,141575.163841461,157898.976570251,131461.732531471,174854.590483408
"rel_schelde1",60240.7018312977,53606.0385687848,48161.1252344438,43326.5136825347,33437.2310096752,27926.8276655565,15416.7790543924,12927.4080617444,4903.54507217649,4779.14574190565,10226.086956504,32708.7091028376,36621.90523089,2913.84809570347,10113.8218286742,18474.1718054556,20102.8294009757,18754.4940677048,10426.0249037438,4679.17676828579,32525.9130078473,29416.4845145874,17991.4443821885,29412.297816829,57674.0971451163,58022.4986680106,57870.9332857156,75040.0016712121,76122.7381955412,76150.0995069076,77001.6185564665,77794.5455819639,80407.6947547013,80756.0962775949,81404.4779436023,99701.5536117317,100949.895563965,57160.0901943188,81508.3407259684,99676.6241419898,58219.3348086091,58950.5191885685,82059.8796324136,60895.9326681846,97918.8634201385,98732.8016992142,100570.263328376,77274.2373882127,77774.2042934013,78549.9406518129,79384.2690342861,80232.6374623682,79853.0052267799,80363.1427762491,80390.5040876162,80800.6482560477,99907.1228369084,40059.7600697472,99762.577477418,145079.644873998,166630.237076148,9672.42254013008,16896.7290000814,81752.8794664959,99434.5172430861,110679.046677615,173226.649603161,12527.8006488611,125909.990087895,57836.551951544,128081.045599654,135585.137358664,119405.832139263,144408.490077805,22755.4850522572,22755.4850522572,23096.8177375112,23279.6382399188,25334.9472632581,20558.7812909041,27926.8276655565,154339.341015303,155933.652648805,169860.537202198,83246.4057168553,156672.300329352,156755.103043304,100132.039068726,139215.854286648,119120.610821611,120017.327407221,58222.485430086,114613.88865211,0,22755.4850522572,26961.2751893508,43285.0879181408,16847.8438793616,60240.7018312977
"rel_dijle",82996.186883555,76361.523621042,70916.6102867008,66081.9987347916,56192.7160619321,50682.3127178135,38172.2641066495,35682.8931140015,27659.0301244336,23369.2901247502,28816.2313393486,51298.853485682,55212.0496137344,25669.3331479606,32869.3068809314,37064.3161883002,42858.3144532328,41509.9791199619,29016.1692865884,23269.3211511304,51116.0573906917,52171.9695668444,36581.588765033,48002.4421996734,76264.2415279608,76612.6430508551,76461.0776685601,93630.1460540567,94712.8825783858,94740.2438897522,95591.7629393111,96384.6899648085,98997.8391375459,99346.2406604395,99994.6223264468,118291.697994576,119540.03994681,75750.2345771632,100098.485108813,118266.768524834,76809.4791914537,77540.6635714132,100650.024015258,83651.4177204421,116509.007802983,117322.946082059,119160.407711221,95864.3817710573,96364.3486762459,97140.0850346575,97974.4134171307,98822.7818452128,98443.1496096245,98953.2871590937,98980.6484704608,99390.7926388923,118497.267219753,58649.9044525916,118352.721860263,163669.789256843,185220.381458993,13083.0625121271,5858.75605217606,100343.02384934,118024.661625931,129269.19106046,191816.793986006,35283.2857011182,144500.13447074,76426.6963343886,146671.189982499,154175.281741508,137995.976522108,162998.634460649,0,0,341.332685254092,524.153187661643,2579.4622110009,2196.70376135303,50682.3127178135,172929.485398147,174523.79703165,188450.681585043,101836.5500997,175262.444712197,175345.247426149,118722.18345157,157805.998669493,137710.755204456,138607.471790066,76812.6298129306,133204.033034954,22755.4850522572,0,49716.7602416077,66040.5729703978,39603.3289316186,82996.186883555
